subject,subcategory,question,a,b,c,d,answer,long_explanation,short_explanation
Bio,Eukaryotic Cell,"The Na+/K+ ATPase hydrolyzes ATP in order to pump three sodium ions out of the cell and two potassium ions into the cell. In addition to being used to maintain the chemipotential gradient across the membrane, the pump can be used to resist changes in cell volume. When cells isolated from a freshwater fish are transferred to a environment mimicking seawater, which of the following would be most likely to occur?",The rate of ATP hydrolysis would decrease as the ATPase's activity decreases.,The rate of ATP hydrolysis would remain unchanged as the ATPase's activity remains unchanged.,The rate of ATP hydrolysis would increase as the ATPase's activity increases.,The cell would swell as ATP production decreases.,A,"*The freshwater fish's cells are being transferred to a seawater environment, a hypertonic solution. 
*Water's concentration is lower in the solution so water will flow out of the cells, which will then shrink. 
*Na+/K+ ATPase activity will adjust to counteract this process and maintain the cells' volumes. 
*Since Na+/K+ ATPase activity results in a net loss of solute particles from inside the cells, the pump's activity will decrease as the cells' solute concentrations are already low compared to that of the surroundings. ","*The environment is hypertonic to the cells so water will flow out of the cells.
*Na+/K+ ATPase activity will adjust to counteract this process.
*Since Na+/K+ ATPase activity results in a net loss of solute particles from inside the cells, the pump's activity will decrease."
Bio,Molecular Biology,Enzymes act as catalysts as they speed up the rate of individual reactions by:,stabilizing the reactants.,stabilizing the transition state.,stabilizing the products.,entirely eliminating solvent effects.,B,"*Catalysts speed up the rate of reaction by stabilizing the transition state without being consumed over the course of the reaction. 
*They do this by lowering the activation energy, the energy of the transition state as bonds are broken and formed.",*Enzymes lower the activation energy by stabilizing the transition state.
Bio,Molecular Biology,All of the following are true of enzymes EXCEPT:,they can be composed of RNA.,they are not consumed over the course of the reaction.,"compared to the uncatalyzed reaction, they lower the activation energy for a given reaction.","compared to the uncatalyzed reaction, they increase the final concentration of the products at equilibrium.",D,"*As catalysts, enzymes do not affect the thermodynamics of the reaction; the same equilibrium is reached by a catalyzed and uncatalyzed reaction though the catalyzed reaction does achieve equilibrium more quickly. 
*Enzymes are not consumed over the course of a reaction, lower the activation energy, and can be composed of RNA (ribozymes).",*Enzymes do not affect the thermodynamics of reactions so equilibrium conditions will remain unchanged.
Bio,Molecular Biology,Allosteric regulators affect enzymatic activity primarily by:,competing with the substrate for the active site.,increasing the rate of transcription.,changing the structure of the active site.,increasing the rate of enzyme degradation.,C,"*Allosteric regulators bind to enzymes and induce conformational changes that alter the structure of the active site. 
*These structural changes to the active site affect the factor by which the enzyme speeds up the reaction and can have either a positive or negative effect. 
*Note: they do NOT bind to enzymatic active sites.",*Allosteric regulators induce conformational changes that alter the structure of the active site. 
Bio,Molecular Biology,Enzymes increase the rate of reaction by:,decreasing the potential energy of the reactants.,decreasing the potential energy of the transition state.,decreasing the potential energy of the products.,providing the required activation energy.,B,"*Catalysts speed up the rate of reaction by lowering the potential energy of the transition state. 
*This potential energy is known as the activation energy, the energy required to form and break bonds.",*Catalysts speed up the rate of reaction by lowering the potential energy of the transition state. 
Bio,Molecular Biology,"As catalysts, enzymes:",alter both the kinetics and thermodynamics of the reaction.,alter neither the kinetics nor the thermodynamics of the reaction.,alter the kinetics of the reaction while leaving the thermodynamics unchanged.,alter the thermodyanimcs of the reaction while leaving the kinetics unchanged.,C,"*As catalysts, enzymes alter the kinetics of a reaction while leaving the thermodynamics unchanged. 
*Catalysts lower the activation energy of a reaction by lowering the potential energy of the transition state. 
*They not affect the energies of the products or the reactants so the equilibrium of the reaction remains unchanged.",*Catalysts speed up the rate of the reaction (kinetics) while leaving the equilibrium (thermodynamics) unchanged.
Bio,Immune System,All of the following are lymphocytes EXCEPT:,T cells.,B cells.,neutrophils.,natural killer cells.,C,"*Lymphocytes are those leukocytes (white blood cells) derived from lymphoid progenitors in the bone marrow and include B cells, T cells, and natural killer (NK) cells.
*The remaining leukocytes, including neutrophils, are derived from myeloid progenitors in the bone marrow.","*B cells, T cells, and natural killer (NK) cells are lymphocytes.
*Lymphocytes are derived from lymphoid progenitors in the bone marrow."
Bio,Immune System,All of the following are leukocytes EXCEPT:,B cells.,erythrocytes.,neutrophils.,monocytes.,B,"*Leukocytes (white blood cells) are any immune cells derived from stem cells housed in the bone marrow.
*Monocytes, B cells, and neutrophils are all white blood cells.
*Though originating in the bone marrow, erythrocytes (red blood cells) have no immune function and are not leukocytes.","*Leukocytes (white blood cells) are immune cells derived from bone marrow stem cells.
*Neutrophils, B cells, and monocytes are leukocytes while erythrocytes (red blood cells) are not."
Bio,Immune System,Immune cells are primarily derived from stem cells housed in the:,bone marrow.,thymus.,spleen.,heart.,A,"*Along with erythrocytes and platelets, the cells of the immune system are derived from stem cells housed in the bone marrow.
*Though these cells may mature in regions throughout the body, they all originate in the bone marrow.",*All immune cells are derived from stem cells housed in the bone marrow.
Bio,Circulatory System,All of the following are derived from bone marrow housed stem cells EXCEPT:,platelets.,erythrocytes.,T cells.,oligodendrocytes.,D,"*White blood cells (leukocytes), red blood cells (erythrocytes), and platelets are all derived from cells that are housed in the bone marrow. 
*Oligodendrocytes are the myelinating cells of the central nervous system (CNS) and orginate in the CNS.","*Leukocytes, erythrocytes, and platelets are derived from bone marrow stem cells.
*Oligodendrocytes are derived from cells located in the central nervous system."
Bio,Immune System,T lymphocytes complete their maturation primarily in the:,bone marrow.,thyroid.,liver.,thymus.,D,"*Though T cells are derived from bone marrow stem cells, they complete their maturation in the thymus. 
*Partway through their development, T cells migrate to the thymus (which is where they get their name).","*Though derived from stem cells in the bone marrow, T cells mature in the thymus."
